Site GVR ID : ,885294,,Customer Name : ,,Sasol Oil (PTY) Ltd,,,
Site ID : ,109949,,Customer ID : ,,S700915,,,
Site Name : ,N17 Sasol Bethal,,Customer Address :,,"18 Beryllium Street, South Africa, South Africa, JHB, ZA",,,
Site Address : ,"Jabulani Selepe Moses Kotane, Bethal, South Africa, 2350, ZA",,,,,,,
,,,,,,,,
Created :,4/4/2024 1:37,,Date Range :,,05/03/2024 - 04/04/2024,,Change Dates,
,,,,,,,,
Alarm Number,Alarm Status,Alarm Category,Alarm Type,Alarm Time,Device,Alarm FMS Time,Alarm Clear Time,Comment
267436305,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 9:49,04 - ULP 95              ,5/3/2024 2:50,5/3/2024 15:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267437202,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 9:59,05 - ULP 95              ,5/3/2024 2:59,5/3/2024 15:12,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267491162,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 18:52,02 - ULS 10              ,5/3/2024 11:53,6/3/2024 10:20,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267491240,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,5/3/2024 18:55,02 - ULS 10              ,5/3/2024 11:55,5/3/2024 19:32,"Tank Overfill Alarm, Overfill Threshold Exceeded "
267491249,Alarm Cleared/Closed,System Alarm,Printer Error,5/3/2024 18:55,01 - ULS 10              ,5/3/2024 11:55,5/3/2024 19:08,"Printer Error,  "
267492131,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 19:13,01 - ULS 10              ,5/3/2024 12:14,6/3/2024 10:28,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267492210,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,5/3/2024 19:17,01 - ULS 10              ,5/3/2024 12:17,5/3/2024 19:32,"Tank Overfill Alarm, Overfill Threshold Exceeded "
267878098,Alarm Cleared/Closed,System Alarm,Printer Error,9/3/2024 10:19,01 - ULS 10              ,9/3/2024 3:20,9/3/2024 10:25,"Printer Error,  "
268135873,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,12/3/2024 11:35,02 - ULS 10              ,12/3/2024 5:36,12/3/2024 14:19,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
268136574,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,12/3/2024 11:44,01 - ULS 10              ,12/3/2024 5:44,12/3/2024 14:44,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
268174515,Alarm Cleared/Closed,System Alarm,Printer Error,12/3/2024 18:01,01 - ULS 10              ,12/3/2024 12:01,12/3/2024 18:01,"Printer Error,  "
268426572,Alarm Cleared/Closed,System Alarm,Printer Error,15/03/2024 02:00:00,01 - ULS 10              ,14/03/2024 20:01:07,15/03/2024 05:56:00,"Printer Error,  "
268614384,Alarm Cleared/Closed,System Alarm,Printer Error,17/03/2024 06:00:00,01 - ULS 10              ,17/03/2024 00:00:49,17/03/2024 06:00:00,"Printer Error,  "
268935893,Alarm Cleared/Closed,System Alarm,Printer Error,15/03/2024 05:56:00,01 - ULS 10              ,20/03/2024 07:49:31,15/03/2024 05:56:00,"Printer Error, Polled Alarm"
268935894,Alarm Cleared/Closed,System Alarm,Printer Error,19/03/2024 06:20:00,01 - ULS 10              ,20/03/2024 07:49:32,19/03/2024 06:20:00,"Printer Error, Polled Alarm"
269018529,Alarm Cleared/Closed,System Alarm,Printer Error,21/03/2024 09:03:00,01 - ULS 10              ,21/03/2024 03:03:47,28/03/2024 23:52:00,"Printer Error,  "
269165997,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,22/03/2024 16:44:00,02 - ULS 10              ,22/03/2024 10:44:16,1/4/2024 18:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
269203751,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,23/03/2024 01:30:00,01 - ULS 10              ,22/03/2024 19:31:21,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269209519,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,23/03/2024 04:30:00,01 - ULS 10              ,22/03/2024 22:30:29,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269218490,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,23/03/2024 08:30:00,01 - ULS 10              ,23/03/2024 02:30:50,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269260143,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,23/03/2024 17:30:00,01 - ULS 10              ,23/03/2024 11:31:01,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269262351,Alarm Cleared/Closed,System Alarm,Printer Error,23/03/2024 18:07:00,01 - ULS 10              ,23/03/2024 12:07:29,28/03/2024 23:52:00,"Printer Error,  "
269291283,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,24/03/2024 08:43:00,01 - ULS 10              ,24/03/2024 02:43:38,1/4/2024 17:55,"Tank High Limit Alarm, High Product Threshold Exceeded. "
269291382,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,24/03/2024 08:46:00,01 - ULS 10              ,24/03/2024 02:46:19,24/03/2024 09:26:00,"Tank Overfill Alarm, Overfill Threshold Exceeded "
269292718,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,24/03/2024 09:05:00,02 - ULS 10              ,24/03/2024 03:06:05,1/4/2024 18:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
269292977,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,24/03/2024 09:08:00,02 - ULS 10              ,24/03/2024 03:09:56,24/03/2024 09:26:00,"Tank Overfill Alarm, Overfill Threshold Exceeded "
269336269,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,24/03/2024 20:30:00,01 - ULS 10              ,24/03/2024 14:30:50,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269352925,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Alarm,25/03/2024 06:30:00,01 - ULS 10              ,25/03/2024 00:30:34,26/03/2024 17:30:00,"Tank HRM Reconciliation Alarm, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269486699,Alarm Cleared/Closed,System Alarm,Printer Error,26/03/2024 11:40:00,01 - ULS 10              ,26/03/2024 05:41:39,28/03/2024 23:52:00,"Printer Error,  "
269501333,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,26/03/2024 14:30:00,04 - ULP 95              ,26/03/2024 08:31:03,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269528973,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,26/03/2024 19:30:00,01 - ULS 10              ,26/03/2024 13:30:39,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269528974,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,26/03/2024 19:30:00,04 - ULP 95              ,26/03/2024 13:30:40,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269537254,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,26/03/2024 21:30:00,04 - ULP 95              ,26/03/2024 15:30:58,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269579192,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,27/03/2024 07:30:00,04 - ULP 95              ,27/03/2024 01:31:40,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269647386,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,27/03/2024 20:30:00,04 - ULP 95              ,27/03/2024 14:31:29,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269681320,Alarm Cleared/Closed,System Alarm,Printer Error,28/03/2024 02:07:00,01 - ULS 10              ,27/03/2024 20:07:33,28/03/2024 23:52:00,"Printer Error,  "
269684239,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,28/03/2024 02:30:00,04 - ULP 95              ,27/03/2024 20:30:41,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269685633,Alarm Cleared/Closed,Wet Stock Management,Data Logger Poll Failure,28/03/2024 00:56:18,37,27/03/2024 20:39:27,28/03/2024 15:47:34,"Data Logger Poll Failure,  Connection refused: connect during Data Collection for Site Name: N17 Sasol Bethal of Customer: Sasol Oil (PTY) Ltd where TG = DOMS PSS DL, Access Type = w, ASC is not on Site, Site not Under Construction"
269691088,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,28/03/2024 05:30:00,04 - ULP 95              ,27/03/2024 23:30:25,31/03/2024 01:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269708491,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Alarm,28/03/2024 09:30:00,04 - ULP 95              ,28/03/2024 03:32:08,30/03/2024 23:30:00,"Tank HRM Reconciliation Alarm, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269715784,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,28/03/2024 10:56:00,02 - ULS 10              ,28/03/2024 04:57:14,1/4/2024 18:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
269734952,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,28/03/2024 14:30:00,05 - ULP 95              ,28/03/2024 08:31:55,29/03/2024 00:05:00,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
269735143,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,28/03/2024 14:31:00,04 - ULP 95              ,28/03/2024 08:32:57,29/03/2024 00:21:00,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
269783863,Alarm Cleared/Closed,System Alarm,Printer Error,28/03/2024 23:50:00,01 - ULS 10              ,28/03/2024 17:51:00,28/03/2024 23:52:00,"Printer Error,  "
269783880,Alarm Cleared/Closed,System Alarm,Printer Error,28/03/2024 23:51:00,01 - ULS 10              ,28/03/2024 17:51:45,28/03/2024 23:52:00,"Printer Error,  "
269783910,Alarm Cleared/Closed,System Alarm,Printer Error,28/03/2024 23:52:00,01 - ULS 10              ,28/03/2024 17:52:47,28/03/2024 23:53:00,"Printer Error,  "
269783982,Alarm Cleared/Closed,System Alarm,Printer Error,28/03/2024 23:53:00,01 - ULS 10              ,28/03/2024 17:53:28,28/03/2024 23:53:00,"Printer Error,  "
269830310,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,29/03/2024 11:27:00,05 - ULP 95              ,29/03/2024 05:27:44,30/03/2024 10:55:00,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
269830670,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,29/03/2024 11:30:00,01 - ULS 10              ,29/03/2024 05:30:59,29/03/2024 16:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
269831326,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,29/03/2024 11:37:00,04 - ULP 95              ,29/03/2024 05:38:50,30/03/2024 10:39:00,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
269896850,Alarm Cleared/Closed,System Alarm,Printer Error,30/03/2024 02:00:00,01 - ULS 10              ,29/03/2024 20:01:41,30/03/2024 05:59:00,"Printer Error,  "
270004728,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,31/03/2024 16:30:00,01 - ULS 10              ,31/03/2024 10:31:01,31/03/2024 20:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270019561,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,31/03/2024 21:30:00,04 - ULP 95              ,31/03/2024 15:31:07,31/03/2024 22:30:00,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270022742,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,31/03/2024 23:30:00,04 - ULP 95              ,31/03/2024 17:30:49,2/4/2024 1:30,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270026006,Alarm Cleared/Closed,System Alarm,Printer Error,1/4/2024 2:01,01 - ULS 10              ,31/03/2024 20:01:58,1/4/2024 5:34,"Printer Error,  "
270051756,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,1/4/2024 11:17,05 - ULP 95              ,1/4/2024 5:18,1/4/2024 21:16,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
270053040,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,1/4/2024 11:34,04 - ULP 95              ,1/4/2024 5:35,1/4/2024 17:13,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
270055546,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,1/4/2024 12:03,01 - ULS 10              ,1/4/2024 6:04,1/4/2024 17:55,"Tank High Limit Alarm, High Product Threshold Exceeded. "
270059952,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,1/4/2024 12:52,03 - ULP 93              ,1/4/2024 6:53,2/4/2024 8:53,"Tank High Limit Alarm, High Product Threshold Exceeded. "
270060151,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,1/4/2024 12:55,03 - ULP 93              ,1/4/2024 6:55,1/4/2024 13:08,"Tank Overfill Alarm, Overfill Threshold Exceeded "
270060540,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,1/4/2024 12:59,02 - ULS 10              ,1/4/2024 7:00,1/4/2024 18:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
270074173,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Alarm,1/4/2024 15:30,04 - ULP 95              ,1/4/2024 9:31,1/4/2024 20:30,"Tank HRM Reconciliation Alarm, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270096567,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,1/4/2024 19:26,04 - ULP 95              ,1/4/2024 13:26,1/4/2024 20:56,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
270146365,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,2/4/2024 8:30,01 - ULS 10              ,2/4/2024 2:31,,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270152109,Alarm Cleared/Closed,System Alarm,Printer Error,2/4/2024 9:38,01 - ULS 10              ,2/4/2024 3:39,2/4/2024 9:39,"Printer Error,  "
270156691,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Alarm,2/4/2024 10:30,01 - ULS 10              ,2/4/2024 4:31,3/4/2024 14:30,"Tank HRM Reconciliation Alarm, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270161658,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,2/4/2024 11:30,04 - ULP 95              ,2/4/2024 5:31,2/4/2024 12:30,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270291966,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,3/4/2024 11:58,02 - ULS 10              ,3/4/2024 5:58,,"Tank High Limit Alarm, High Product Threshold Exceeded. "
270292228,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,3/4/2024 12:00,02 - ULS 10              ,3/4/2024 6:01,3/4/2024 12:43,"Tank Overfill Alarm, Overfill Threshold Exceeded "
270293432,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,3/4/2024 12:11,01 - ULS 10              ,3/4/2024 6:12,,"Tank High Limit Alarm, High Product Threshold Exceeded. "
270293653,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,3/4/2024 12:14,01 - ULS 10              ,3/4/2024 6:15,3/4/2024 12:43,"Tank Overfill Alarm, Overfill Threshold Exceeded "
270327295,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Warning,3/4/2024 17:30,01 - ULS 10              ,3/4/2024 11:31,,"Tank HRM Reconciliation Warning, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
270329977,Alarm Cleared/Closed,Tank Alarm,Tank HRM Reconciliation Alarm,3/4/2024 18:30,01 - ULS 10              ,3/4/2024 12:30,,"Tank HRM Reconciliation Alarm, Other active alarm conditions = , Siphon Manifolded Set with Tank# , Sales Updating = Yes/No, "
73,,,,,,,,
